id,stockid_i,date1,time1,lnA_B,close_1,norm_,avg_,stdev_,sample,commission,norm_num,open_,close_,clsoe_stats,values
136,GBPAUDpro,2016.02.12,21:05,2.04511,2.04511,0.708431161755,2.0425958999999994,0.0045810247839001075,100,0.0005,0.9,0,0,0,0
137,GBPAUDpro,2016.02.12,21:10,2.04515,2.04515,0.706350600201,2.0426844999999996,0.004542568884530757,100,0.0005,0.9,0,0,0,0
138,GBPAUDpro,2016.02.12,21:15,2.04399,2.04399,0.606348783968,2.0427763999999993,0.004497893450822225,100,0.0005,0.9,0,0,0,0
139,GBPAUDpro,2016.02.12,21:20,2.04346,2.04346,0.553950510267,2.0428568999999994,0.004446042320213709,100,0.0005,0.9,0,0,0,0
140,GBPAUDpro,2016.02.12,21:25,2.04338,2.04338,0.540456305428,2.0429343,0.004387529678163746,100,0.0005,0.9,0,0,0,0
141,GBPAUDpro,2016.02.12,21:30,2.04074,2.04074,0.30063411579,2.0430056,0.004335432666302219,100,0.0005,0.9,0,0,0,0
142,GBPAUDpro,2016.02.12,21:35,2.04322,2.04322,0.515253156486,2.0430564,0.004277872009456676,100,0.0005,0.9,0,0,0,0
143,GBPAUDpro,2016.02.12,21:40,2.04228,2.04228,0.420278379861,2.0431286,0.0042180844472390995,100,0.0005,0.9,0,0,0,0
144,GBPAUDpro,2016.02.12,21:45,2.04198,2.04198,0.385813381758,2.0431882,0.0041626517335162,100,0.0005,0.9,0,0,0,0
145,GBPAUDpro,2016.02.12,21:50,2.04382,2.04382,0.555051072222,2.0432538,0.004090051685233173,100,0.0005,0.9,0,0,0,0
146,GBPAUDpro,2016.02.12,21:55,2.04452,2.04452,0.615999800998,2.043334,0.004020455273480921,100,0.0005,0.9,0,0,0,0
147,GBPAUDpro,2016.02.12,22:00,2.04498,2.04498,0.653676630731,2.043413,0.003964420932914828,100,0.0005,0.9,0,0,0,0
148,GBPAUDpro,2016.02.12,22:05,2.04499,2.04499,0.648756173172,2.0434995000000002,0.0039021945069020974,100,0.0005,0.9,0,0,0,0
149,GBPAUDpro,2016.02.12,22:10,2.04578,2.04578,0.716256959296,2.0435749000000003,0.003856703070727319,100,0.0005,0.9,0,0,0,0
150,GBPAUDpro,2016.02.12,22:15,2.04595,2.04595,0.726108864706,2.0436574000000003,0.003814092322220871,100,0.0005,0.9,0,0,0,0
151,GBPAUDpro,2016.02.12,22:20,2.04504,2.04504,0.63423300519,2.0437551000000003,0.0037451284168351006,100,0.0005,0.9,0,0,0,0
152,GBPAUDpro,2016.02.12,22:25,2.0442,2.0442,0.538897212467,2.0438413000000004,0.003673103071207929,100,0.0005,0.9,0,0,0,0
153,GBPAUDpro,2016.02.12,22:30,2.04307,2.04307,0.406891356457,2.0439177,0.0035988277707098316,100,0.0005,0.9,0,0,0,0
154,GBPAUDpro,2016.02.12,22:35,2.04247,2.04247,0.334910700854,2.0439770000000004,0.0035342970383876234,100,0.0005,0.9,0,0,0,0
155,GBPAUDpro,2016.02.12,22:40,2.04382,2.04382,0.478769806518,2.0440068,0.003508551423438032,100,0.0005,0.9,0,0,0,0
156,GBPAUDpro,2016.02.12,22:45,2.04283,2.04283,0.362500387183,2.044052600000001,0.003475434896120436,100,0.0005,0.9,0,0,0,0
